# creator Make-O-Matic
Trainset-ID,Experiment-ID,Subject-ID,Observer-ID,collectedByHand,Collector-ID,TimeStamp,RFID-ID,GRASP-A,GRASP-B,GRASP-C,AX,AY,AZ,EX,EY,EZ,USERINPUT,HANDINGLOVE, Parcours-ID,Parcours-Step,Mutation-ID, Mutation/HandIsActive,Host-ID,Host/Spot-ID,Gesture-ID
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,278661,000000000000,748,12,770,0.6899999976158142,0.019999999552965164,-0.03999999910593033,242.625,4.5,-83.125,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,297632,000000000000,183,183,171,0.6499999761581421,-0.12999999523162842,-0.5699999928474426,120.5,-8.9375,-91.25,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,313431,000000000000,748,11,769,0.75,0.11999999731779099,-0.17000000178813934,242.375,4.5,-83.25,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,322225,000000000000,160,166,151,0.7699999809265137,-0.30000001192092896,-0.550000011920929,120.25,-9.125,-91.125,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,328575,000000000000,749,9,770,0.75,0.27000001072883606,-0.15000000596046448,242.1875,4.375,-83.375,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,346282,000000000000,185,183,166,0.9800000190734863,-0.25,-0.5,119.75,-9.25,-90.9375,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,349676,000000000000,748,5,769,0.6000000238418579,0.33000001311302185,-0.07999999821186066,241.625,4.375,-83.625,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,367278,000000000000,203,210,185,0.9800000190734863,-0.30000001192092896,-0.46000000834465027,119.1875,-9.125,-90.9375,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,374586,000000000000,749,1,770,0.49000000953674316,0.2800000011920929,0.14000000059604645,241.125,4.4375,-83.75,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,394924,000000000000,749,5,770,0.4000000059604645,0.25999999046325684,0.05000000074505806,240.625,4.5,-83.875,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,401004,000000000000,218,227,212,0.8899999856948853,-0.3499999940395355,-0.5,118.3125,-8.8125,-91,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,415971,000000000000,223,224,209,0.6000000238418579,-0.28999999165534973,-0.5799999833106995,116.9375,-8.1875,-91.25,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,432200,000000000000,747,10,769,0.25,0.2800000011920929,0.20000000298023224,239.9375,4.5,-84,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,443935,000000000000,230,222,217,0.5199999809265137,-0.20999999344348907,-0.5600000023841858,116,-7.8125,-91.4375,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,444590,000000000000,747,3,769,0.18000000715255737,0.1599999964237213,0.009999999776482582,239.4375,4.5625,-84.0625,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,457693,000000000000,749,12,769,0.15000000596046448,-0.05000000074505806,0.18000000715255737,238.9375,4.5625,-84.125,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,487435,000000000000,219,214,206,0.41999998688697815,-0.1899999976158142,-0.41999998688697815,115.0625,-7.4375,-91.6875,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,488875,000000000000,201,208,199,0.20000000298023224,-0.029999999329447746,-0.20000000298023224,113.6875,-6.875,-91.9375,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,502378,000000000000,749,3,768,0.09000000357627869,-0.009999999776482582,0.10000000149011612,238.25,4.625,-84.25,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,511273,000000000000,157,183,183,0.07000000029802322,-0.009999999776482582,-0.27000001072883606,112.75,-6.4375,-92.125,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,517121,000000000000,748,16,770,0.03999999910593033,0.029999999329447746,0.3100000023841858,237.6875,4.6875,-84.3125,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,535912,000000000000,172,183,191,-0.23999999463558197,0,-0.14000000059604645,111.3125,-5.75,-92.375,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,554731,000000000000,750,18,770,-0.12999999523162842,0.05999999865889549,0.14000000059604645,237.1875,4.75,-84.3125,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,556065,000000000000,747,8,768,-0.18000000715255737,0.05000000074505806,0.2199999988079071,236.5,4.8125,-84.25,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,562142,000000000000,188,196,210,-0.4300000071525574,-0.009999999776482582,-0.09000000357627869,110.4375,-5.3125,-92.625,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,581130,000000000000,747,17,768,-0.18000000715255737,0,0.1599999964237213,236.125,4.875,-84.25,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,597187,000000000000,212,213,220,-0.5199999809265137,-0.019999999552965164,0.17000000178813934,109.5625,-4.875,-92.8125,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,604924,000000000000,150,158,159,-0.6800000071525574,0.07000000029802322,0.36000001430511475,108.6875,-4.375,-93.0625,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,607397,000000000000,749,5,770,-0.20000000298023224,0.019999999552965164,0.15000000596046448,235.75,4.9375,-84.25,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,right,R01,628880,000000000000,748,15,769,-0.2199999988079071,0.03999999910593033,0.20000000298023224,235.125,5.125,-84.1875,false,true,P110,1,M151,true,H008,,G15
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,632175,000000000000,166,168,166,-0.8700000047683716,0.05000000074505806,0.4399999976158142,107.5,-3.75,-93.375,false,false,P110,1,M151,false,,,
_TRAINSET14022017100629,E001,Andreas,Clemens,left,L01,657310,000000000000,229,221,216,-0.949999988079071,0.05999999865889549,0.3400000035762787,106.9375,-3.5625,-93.4375,false,false,P110,1,M151,false,,,
